adm_cd,district,dong,building_count,building_footprint_m2,dong_area_m2,building_density_pct,assignment_method
22010540,중구,삼덕동,1360,205138.68,643900.0,31.8588,building_area_centroid_in_administrative_dong
22010560,중구,성내1동,1940,319485.9,775300.0,41.208,building_area_centroid_in_administrative_dong
22010590,중구,성내2동,2101,353941.12,939900.0,37.6573,building_area_centroid_in_administrative_dong
22010610,중구,성내3동,2164,247691.41,750300.0,33.0123,building_area_centroid_in_administrative_dong
22010620,중구,대신동,1724,161857.97,493900.0,32.7714,building_area_centroid_in_administrative_dong
22010640,중구,남산1동,1406,131606.62,384200.0,34.2547,building_area_centroid_in_administrative_dong
22010650,중구,남산2동,1668,127823.39,374300.0,34.15,building_area_centroid_in_administrative_dong
22010660,중구,남산3동,1170,109066.83,402300.0,27.1108,building_area_centroid_in_administrative_dong
22010670,중구,남산4동,1382,126008.32,453200.0,27.8041,building_area_centroid_in_administrative_dong
22010680,중구,대봉1동,919,130442.51,554200.0,23.5371,building_area_centroid_in_administrative_dong
22010690,중구,대봉2동,1288,101031.55,282400.0,35.776,building_area_centroid_in_administrative_dong
22010700,중구,동인동,2369,296035.02,994800.0,29.7582,building_area_centroid_in_administrative_dong
22020510,동구,신암1동,2716,248518.99,617800.0,40.2264,building_area_centroid_in_administrative_dong
22020520,동구,신암2동,762,94284.89,360400.0,26.1612,building_area_centroid_in_administrative_dong
22020530,동구,신암3동,1495,179648.3,602100.0,29.837,building_area_centroid_in_administrative_dong
22020540,동구,신암4동,2402,344808.36,1149300.0,30.0016,building_area_centroid_in_administrative_dong
22020550,동구,신암5동,1259,147201.25,526500.0,27.9585,building_area_centroid_in_administrative_dong
22020560,동구,신천1·2동,1228,118863.86,445800.0,26.663,building_area_centroid_in_administrative_dong
22020580,동구,신천3동,1508,210841.9,741600.0,28.4307,building_area_centroid_in_administrative_dong
22020590,동구,신천4동,1782,263492.27,788300.0,33.4254,building_area_centroid_in_administrative_dong
