adm_cd,district,dong,population,general_population,elderly_population,elderly_ratio_pct,shelter_total,shelter_operating,shelter_public_operating,public_operating_per_10000
22010540,중구,삼덕동,7460,6478,982,13.1635,8,8,5,6.702413
22010560,중구,성내1동,5527,4581,946,17.116,7,7,5,9.046499
22010590,중구,성내2동,9263,7882,1381,14.9088,9,9,5,5.397819
22010610,중구,성내3동,13643,12127,1516,11.1119,6,6,3,2.19893
22010620,중구,대신동,7249,5534,1715,23.6584,8,8,3,4.138502
22010640,중구,남산1동,5062,4021,1041,20.565,6,6,3,5.926511
22010650,중구,남산2동,7394,6121,1273,17.2167,8,8,3,4.057344
22010660,중구,남산3동,5779,4119,1660,28.7247,5,5,2,3.460806
22010670,중구,남산4동,15842,12270,3572,22.5477,11,11,3,1.8937
22010680,중구,대봉1동,7666,5981,1685,21.9802,5,5,1,1.304461
22010690,중구,대봉2동,5933,4907,1026,17.2931,5,5,1,1.685488
22010700,중구,동인동,10997,8926,2071,18.8324,10,10,6,5.456033
22020510,동구,신암1동,10781,7941,2840,26.3426,2,2,1,0.927558
22020520,동구,신암2동,11446,8721,2725,23.8074,3,3,2,1.747335
22020530,동구,신암3동,11150,8859,2291,20.5471,5,5,3,2.690583
22020540,동구,신암4동,18383,14444,3939,21.4274,5,5,3,1.631943
22020550,동구,신암5동,7315,5070,2245,30.6904,4,4,3,4.101162
22020560,동구,신천1·2동,10994,7149,3845,34.9736,3,3,3,2.728761
22020580,동구,신천3동,14835,12093,2742,18.4833,5,5,5,3.370408
22020590,동구,신천4동,12937,10639,2298,17.763,3,3,2,1.545953
22020600,동구,효목1동,11472,7068,4404,38.3891,3,3,2,1.743375
22020610,동구,효목2동,14147,10192,3955,27.9565,6,6,5,3.534318
22020620,동구,도평동,3371,2158,1213,35.9834,1,1,1,2.966479
22020630,동구,불로·봉무동,19381,15068,4313,22.2538,6,6,4,2.063877
22020650,동구,지저동,12323,7940,4383,35.5676,2,2,2,1.622981
22020660,동구,동촌동,13815,9363,4452,32.2258,6,6,3,2.171553
22020680,동구,방촌동,16714,10933,5781,34.5878,7,7,5,2.991504
22020690,동구,해안동,12925,8398,4527,35.0251,6,6,2,1.547389
22020710,동구,공산동,19708,13383,6325,32.0936,5,5,3,1.522224
22020730,동구,안심1동,37158,27326,9832,26.46,6,6,5,1.345605
22020740,동구,안심2동,17002,13330,3672,21.5975,4,4,2,1.176332
22020760,동구,안심3동,19897,16373,3524,17.7112,2,2,2,1.005177
22020770,동구,안심4동,26289,20643,5646,21.4767,8,8,6,2.282323
22020780,동구,혁신동,16501,14237,2264,13.7204,5,5,5,3.030119
22030510,서구,내당1동,14683,11703,2980,20.2956,2,2,2,1.362119
22030520,서구,내당2·3동,8091,5074,3017,37.2883,9,9,4,4.943765
22030530,서구,내당4동,14119,9581,4538,32.1411,2,2,1,0.708265
22030540,서구,비산1동,7738,4948,2790,36.0558,7,7,2,2.584647
22030550,서구,비산2·3동,7550,4347,3203,42.4238,9,9,5,6.622517
22030560,서구,비산4동,8143,5257,2886,35.4415,6,6,3,3.684146
22030570,서구,비산5동,4744,2776,1968,41.484,5,5,3,6.323777
22030580,서구,비산6동,6319,3997,2322,36.7463,3,3,1,1.582529
22030590,서구,비산7동,9260,6338,2922,31.5551,3,3,2,2.159827
22030600,서구,평리1동,6126,3865,2261,36.9083,6,6,2,3.264773
22030610,서구,평리2동,6820,4802,2018,29.5894,6,6,2,2.932551
22030620,서구,평리3동,12090,8841,3249,26.8734,6,6,3,2.48139
22030630,서구,평리4동,15025,10701,4324,28.7787,9,9,3,1.996672
22030640,서구,평리5동,10531,9144,1387,13.1706,4,4,3,2.848732
22030650,서구,평리6동,5391,4094,1297,24.0586,1,1,1,1.854943
22030660,서구,상중이동,16863,11878,4985,29.5618,6,6,4,2.372057
22030680,서구,원대동,9963,7155,2808,28.1843,4,4,4,4.014855
22040510,남구,이천동,14245,10591,3654,25.6511,5,4,2,1.404001
22040530,남구,봉덕1동,7680,5110,2570,33.4635,7,7,5,6.510417
22040540,남구,봉덕2동,12852,9373,3479,27.0697,3,2,1,0.778089
22040550,남구,봉덕3동,14003,9506,4497,32.1145,3,3,1,0.714133
22040560,남구,대명1동,9242,6439,2803,30.3289,4,4,2,2.164034
22040570,남구,대명2동,15229,12178,3051,20.0341,4,4,2,1.313284
22040580,남구,대명3동,12166,8828,3338,27.4371,2,2,1,0.821963
22040590,남구,대명4동,9003,5808,3195,35.4882,4,4,2,2.221482
22040600,남구,대명5동,8896,7173,1723,19.3683,3,3,2,2.248201
22040610,남구,대명6동,10276,7539,2737,26.6349,4,4,2,1.946283
22040640,남구,대명9동,13110,9260,3850,29.3669,4,4,2,1.525553
22040650,남구,대명10동,7805,5067,2738,35.0801,5,5,2,2.56246
22040660,남구,대명11동,7152,4444,2708,37.8635,2,2,1,1.39821
22050510,북구,고성동,14603,13053,1550,10.6143,5,5,5,3.423954
22050520,북구,칠성동,23657,19226,4431,18.7302,8,8,5,2.113539
22050550,북구,침산1동,3441,2150,1291,37.5182,3,3,1,2.906132
22050560,북구,침산2동,17835,14885,2950,16.5405,8,8,5,2.803476
22050570,북구,침산3동,17704,13621,4083,23.0626,6,6,5,2.824221
22050610,북구,산격1동,7370,4123,3247,44.057,5,5,4,5.427408
22050620,북구,산격2동,9376,6652,2724,29.0529,7,7,6,6.399317
22050630,북구,산격3동,8390,6422,1968,23.4565,5,5,5,5.959476
22050640,북구,산격4동,6961,4586,2375,34.1187,2,2,2,2.87315
22050650,북구,복현1동,7131,5907,1224,17.1645,4,4,3,4.206984
22050660,북구,복현2동,28733,23183,5550,19.3158,8,8,4,1.392128
22050700,북구,검단동,5414,3372,2042,37.717,5,5,3,5.54119
22050710,북구,무태조야동,32499,26093,6406,19.7114,9,9,4,1.230807
22050740,북구,태전2동,21610,16401,5209,24.1046,3,3,2,0.925497
22050750,북구,관문동,31975,25859,6116,19.1274,3,3,3,0.938233
22050760,북구,읍내동,24576,18975,5601,22.7905,4,4,4,1.627604
22050770,북구,관음동,13689,9863,3826,27.9494,5,5,4,2.922054
22050780,북구,태전1동,21074,16163,4911,23.3036,4,4,3,1.423555
22050790,북구,구암동,30230,24901,5329,17.6282,7,7,5,1.653986
22050810,북구,노원동,10954,7622,3332,30.4181,7,7,7,6.39036
22050820,북구,동천동,24635,21055,3580,14.5322,2,2,2,0.811853
22050830,북구,국우동,29112,24992,4120,14.1522,4,4,2,0.687002
22050840,북구,대현동,15618,11242,4376,28.019,11,11,4,2.561147
22060510,수성구,범어1동,22679,19564,3115,13.7352,6,6,4,1.763746
22060520,수성구,범어2동,15345,12660,2685,17.4976,6,6,4,2.606712
22060530,수성구,범어3동,17016,15009,2007,11.7948,3,3,2,1.175364
22060540,수성구,범어4동,18446,16337,2109,11.4334,7,7,4,2.168492
22060550,수성구,만촌1동,20174,15207,4967,24.6208,6,6,3,1.487063
22060560,수성구,만촌2동,13080,10626,2454,18.7615,3,3,1,0.764526
22060570,수성구,만촌3동,20523,17991,2532,12.3374,8,8,4,1.949033
22060580,수성구,수성1가동,16970,12862,4108,24.2074,3,3,1,0.589275
22060590,수성구,수성2·3가동,10185,8016,2169,21.296,7,7,4,3.927344
22060600,수성구,수성4가동,12798,9304,3494,27.3011,4,4,1,0.781372
22060610,수성구,황금1동,20820,17195,3625,17.4111,3,3,3,1.440922
22060620,수성구,황금2동,11770,9211,2559,21.7417,4,4,2,1.699235
22060630,수성구,중동,14422,11635,2787,19.3246,8,8,5,3.466926
22060640,수성구,상동,13938,9768,4170,29.9182,7,7,3,2.152389
22060650,수성구,파동,17133,13010,4123,24.0647,7,7,5,2.918345
22060660,수성구,두산동,14840,12174,2666,17.965,3,3,1,0.673854
22060670,수성구,지산1동,18617,12807,5810,31.208,7,6,2,1.074287
22060680,수성구,지산2동,18149,13144,5005,27.5773,4,4,2,1.101989
22060690,수성구,범물1동,9654,5309,4345,45.0073,7,7,4,4.14336
22060700,수성구,범물2동,15526,11708,3818,24.591,3,3,2,1.288162
22060710,수성구,고산1동,31066,25493,5573,17.9392,10,10,5,1.609477
22060720,수성구,고산2동,25533,20243,5290,20.7183,13,13,3,1.17495
22060730,수성구,고산3동,29136,22941,6195,21.2624,6,6,1,0.343218
22070550,달서구,두류3동,8931,6446,2485,27.8244,6,6,4,4.478782
22070560,달서구,본리동,22993,19084,3909,17.0008,5,5,3,1.304745
22070570,달서구,감삼동,31125,25967,5158,16.5719,7,7,4,1.285141
